,Equity_x,stock_name,Equity_y,Sector
304,2,Texmaco Rail,Texmaco Rail,Engineering & Capital Goods
305,2,Mirza Intl,Mirza Intl,Consumer Non-durables
306,2,Eveready Ind,Eveready Ind,Consumer Non-durables
307,2,Sterling Tools,Sterling Tools,Manufacturing
308,2,Magma Fincorp,Magma Fincorp,Banking & Financial Services
309,2,Narayana Hruda,Narayana Hruda,Services
310,2,Greenply Ind,Greenply Ind,Miscellaneous
311,2,Dalmia Sugar,Dalmia Sugar,Food & Beverages
312,2,Jaiprakash Pow,Jaiprakash Pow,Utilities
313,2,S Chand and Co,S Chand and Co,Miscellaneous
314,2,Navin Fluorine,Navin Fluorine,Chemicals
315,2,Ratnamani Metal,Ratnamani Metal,Metals & Mining
316,2,JMC Projects,JMC Projects,Cement & Construction
317,2,Bank of India,Bank of India,Banking & Financial Services
318,2,GlaxoSmithKline,GlaxoSmithKline,Pharmaceuticals
319,2,Indian Hotels,Indian Hotels,Services
320,2,VRL Logistics,VRL Logistics,Services
321,2,Action Const,Action Const,Engineering & Capital Goods
322,2,C & C Construct,C & C Construct,Cement & Construction
323,2,Alembic Pharma,Alembic Pharma,Pharmaceuticals
324,2,DLF,DLF,Retail & Real Estate
325,2,IRB Infra,IRB Infra,Engineering & Capital Goods
326,2,Sintex Ind,Sintex Ind,Conglomerates
327,2,GE Shipping,GE Shipping,Services
328,2,HPL Electric & ,HPL Electric & ,Engineering & Capital Goods
329,2,Ceat,Ceat,Automotive
330,2,PSP Projects,PSP Projects,Cement & Construction
331,2,Finolex Cables,Finolex Cables,Telecommunication
332,2,Balkrishna Ind,Balkrishna Ind,Automotive
333,2,GTPL Hathway,GTPL Hathway,Media & Entertainment
334,2,JK Bank,JK Bank,Banking & Financial Services
335,2,Chennai Petro,Chennai Petro,Oil & Gas
336,2,Navneet,Navneet,Miscellaneous
337,2,L&T; Technology,L&T; Technology,Information Technology
338,2,Power Finance,Power Finance,Banking & Financial Services
339,2,Automotive Axle,Automotive Axle,Automotive
340,2,Godrej Prop,Godrej Prop,Retail & Real Estate
341,2,Escorts,Escorts,Automotive
342,2,Polaris Consult,Polaris Consult,Information Technology
343,2,Kirloskar Ind,Kirloskar Ind,Engineering & Capital Goods
344,2,Apar Ind,Apar Ind,Miscellaneous
345,2,Indoco Remedies,Indoco Remedies,Pharmaceuticals
346,2,Kalpataru Power,Kalpataru Power,Engineering & Capital Goods
347,2,Navkar Corp,Navkar Corp,Services
348,2,Pennar Eng,Pennar Eng,Miscellaneous
349,1,GSFC,GSFC,Chemicals
350,1,Cosmo Films,Cosmo Films,Manufacturing
