,Equity_x,stock_name,Equity_y,Sector
163,15,Sanofi India,Sanofi India,Pharmaceuticals
164,15,Indian Terrain,Indian Terrain,Manufacturing
165,15,JM Financial,JM Financial,Banking & Financial Services
166,15,JagranPrakashan,JagranPrakashan,Media & Entertainment
167,15,ISGEC Heavy Eng,ISGEC Heavy Eng,Food & Beverages
168,14,3M India,3M India,Conglomerates
169,14,KNR Construct,KNR Construct,Cement & Construction
170,14,KEI Industries,KEI Industries,Engineering & Capital Goods
171,14,MRPL,MRPL,Oil & Gas
172,14,Elgi Equipments,Elgi Equipments,Engineering & Capital Goods
173,14,Ingersoll Rand,Ingersoll Rand,Engineering & Capital Goods
174,14,Mold-Tek Pack,Mold-Tek Pack,Manufacturing
175,14,Piramal Enter,Piramal Enter,Pharmaceuticals
176,14,Chennai Petro,Chennai Petro,Oil & Gas
177,14,TD Power System,TD Power System,Engineering & Capital Goods
178,14,Bharat Forge,Bharat Forge,Manufacturing
179,14,Brigade Ent,Brigade Ent,Retail & Real Estate
180,14,Endurance Techn,Endurance Techn,Automotive
181,14,Ashok Leyland,Ashok Leyland,Automotive
182,14,Vesuvius India,Vesuvius India,Cement & Construction
183,14,Suprajit Eng,Suprajit Eng,Automotive
184,14,Tata Steel,Tata Steel,Metals & Mining
185,14,Navkar Corp,Navkar Corp,Services
186,14,ICRA,ICRA,Miscellaneous
187,14,Triveni Engg,Triveni Engg,Food & Beverages
188,14,Century,Century,Conglomerates
189,14,Monsanto India,Monsanto India,Chemicals
190,14,SML Isuzu,SML Isuzu,Automotive
191,14,MphasiS,MphasiS,Information Technology
192,14,GlaxoSmith Con,GlaxoSmith Con,Food & Beverages
193,14,Tata Global Bev,Tata Global Bev,Food & Beverages
194,14,Greenply Ind,Greenply Ind,Miscellaneous
195,13,PNB Housing Fin,PNB Housing Fin,Banking & Financial Services
196,13,Havells India,Havells India,Engineering & Capital Goods
197,13,Cadila Health,Cadila Health,Pharmaceuticals
198,13,Laurus Labs,Laurus Labs,Pharmaceuticals
199,13,Ceat,Ceat,Automotive
200,13,Shriram City,Shriram City,Banking & Financial Services
201,13,CG Power ,CG Power ,Engineering & Capital Goods
202,13,Ipca Labs,Ipca Labs,Pharmaceuticals
203,13,Shanthi Gears,Shanthi Gears,Engineering & Capital Goods
204,13,Trent,Trent,Retail & Real Estate
205,13,Bharat Fin,Bharat Fin,Banking & Financial Services
206,12,CG Consumer,CG Consumer,Manufacturing
207,12,Advanced Enzyme,Advanced Enzyme,Pharmaceuticals
208,12,Aarti Ind,Aarti Ind,Chemicals
209,12,Ahluwalia,Ahluwalia,Cement & Construction
210,12,United Spirits,United Spirits,Food & Beverages
211,12,Taj GVK Hotels,Taj GVK Hotels,Services
212,12,Hindalco,Hindalco,Metals & Mining
213,12,Madhucon Proj,Madhucon Proj,Cement & Construction
214,12,Sun Pharma,Sun Pharma,Pharmaceuticals
215,12,Eveready Ind,Eveready Ind,Consumer Non-durables
216,12,ZF Steering Gea,ZF Steering Gea,Automotive
217,12,Balkrishna Ind,Balkrishna Ind,Automotive
218,12,Somany Ceramics,Somany Ceramics,Cement & Construction
219,12,Esab India,Esab India,Engineering & Capital Goods
220,12,Colgate,Colgate,Consumer Non-durables
221,12,TI Financial,TI Financial,Miscellaneous
222,12,Oracle Fin Serv,Oracle Fin Serv,Information Technology
223,12,Sheela Foam,Sheela Foam,Miscellaneous
224,12,Goodyear,Goodyear,Automotive
225,12,Future Retail,Future Retail,Retail & Real Estate
226,11,Indian Hotels,Indian Hotels,Services
227,11,LG Balakrishnan,LG Balakrishnan,Engineering & Capital Goods
228,11,ICICI Prudentia,ICICI Prudentia,Banking & Financial Services
229,11,L&T; Technology,L&T; Technology,Information Technology
230,11,West Coast Pap,West Coast Pap,Manufacturing
231,11,GE Shipping,GE Shipping,Services
232,11,Union Bank,Union Bank,Banking & Financial Services
233,10,Tata Motors (D),Tata Motors (D),Automotive
234,10,Centum Electron,Centum Electron,Manufacturing
235,10,Igarashi Motors,Igarashi Motors,Engineering & Capital Goods
236,10,J Kumar Infra,J Kumar Infra,Cement & Construction
237,10,Asian Granito,Asian Granito,Cement & Construction
238,10,CCL Products,CCL Products,Food & Beverages
239,10,Blue Dart,Blue Dart,Services
240,10,Guj Flourochem,Guj Flourochem,Chemicals
241,10,Escorts,Escorts,Automotive
242,10,Arrow Greentech,Arrow Greentech,Manufacturing
243,10,Eris Life,Eris Life,Pharmaceuticals
244,10,SBI,SBI,Banking & Financial Services
245,10,Avenue Supermar,Avenue Supermar,Retail & Real Estate
246,10,Edelweiss,Edelweiss,Banking & Financial Services
247,10,GRUH Finance,GRUH Finance,Banking & Financial Services
248,10,Star Cement,Star Cement,Metals & Mining
249,10,Berger Paints,Berger Paints,Chemicals
250,10,UFO Moviez,UFO Moviez,Media & Entertainment
251,10,Gillette India,Gillette India,Consumer Non-durables
252,10,Sanghi Ind,Sanghi Ind,Cement & Construction
253,10,Tata Metaliks,Tata Metaliks,Metals & Mining
254,10,Pennar Eng,Pennar Eng,Miscellaneous
255,10,Shree Cements,Shree Cements,Cement & Construction
256,10,Capital First,Capital First,Banking & Financial Services
257,10,Dhanuka Agritec,Dhanuka Agritec,Chemicals
258,10,Adani Ports,Adani Ports,Engineering & Capital Goods
259,10,Thomas Cook,Thomas Cook,Miscellaneous
260,10,Elantas Beck,Elantas Beck,Chemicals
261,10,Swaraj Engines,Swaraj Engines,Engineering & Capital Goods
262,10,RamkrishnaForge,RamkrishnaForge,Manufacturing
263,9,JK Tyre & Ind,JK Tyre & Ind,Automotive
264,9,SREI Infra,SREI Infra,Banking & Financial Services
265,9,CL Educate,CL Educate,Miscellaneous
266,9,IIFL Holdings,IIFL Holdings,Banking & Financial Services
267,9,Hind Zinc,Hind Zinc,Metals & Mining
268,9,Canara Bank,Canara Bank,Banking & Financial Services
269,9,Gujarat Pipavav,Gujarat Pipavav,Services
270,9,TVS Motor,TVS Motor,Automotive
271,9,United Brewerie,United Brewerie,Food & Beverages
272,9,Ramcoind,Ramcoind,Cement & Construction
273,9,IRB Infra,IRB Infra,Engineering & Capital Goods
274,9,Pidilite Ind,Pidilite Ind,Chemicals
275,9,GMR Infra,GMR Infra,Engineering & Capital Goods
276,9,Mindtree,Mindtree,Information Technology
277,8,Chambal Fert,Chambal Fert,Chemicals
278,8,Relaxo Footwear,Relaxo Footwear,Consumer Non-durables
279,8,Reliance,Reliance,Oil & Gas
