Gemini Comm,GC17,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/geminicommunications/GC17,
Gemini Engi-Fab,GE06,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/geminiengifab/GE06,
Gemmia Oiltech,RKI,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gemmiaoiltechindia/RKI,
Gemstone Inv,GI05,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gemstoneinvestments/GI05,
Genelec,G01,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/genelec/G01,
Genera Agri,GAC04,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/generaagricorp/GAC04,
General Insuran,GIC12,http://www.moneycontrol.com/india/stockpricequote/diversified/generalinsurancecorporationindia/GIC12,
Generic Eng,WPF,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/genericengineeringconstructionprojects/WPF,
Genesis Develop,GDR,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/genesisdevelopersresorts/GDR,
Genesys Int,GIC10,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/genesysinternationalcorporation/GIC10,
Gennex Labs,GL03,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gennexlaboratories/GL03,
Genomic Valley,GVB,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/genomicvalleybiotech/GVB,
Genuine Commod,GCD,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/genuinecommoditiesdevelopment/GCD,
Genus Comm,GCT,http://www.moneycontrol.com/india/stockpricequote/trading/genuscommutrade/GCT,
Genus Paper,GPB,http://www.moneycontrol.com/india/stockpricequote/paper/genuspaperboards/GPB,
Genus Power,GPI08,http://www.moneycontrol.com/india/stockpricequote/electricals/genuspowerinfrastructures/GPI08,
Geodesic,G05,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/geodesic/G05,
Geojit Fin,GBN01,http://www.moneycontrol.com/india/stockpricequote/financegeneral/geojitfinancialservices/GBN01,
Geologging Ind,GI06,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/geologgingindustries/GI06,
Geometric,G03,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/geometric/G03,
German Gardens ,GGL01,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/germangardens/GGL01,
German Remedies,GR,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/germanremedies/GR,
Gestetner,GI07,http://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/gestenerindia/GI07,
GFL Financials,GFI01,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gflfinancialsindia/GFI01,
GG Auto Gears,GGA,http://www.moneycontrol.com/india/stockpricequote/engineering/ggautomativegears/GGA,
GG Dandekar,GGD,http://www.moneycontrol.com/india/stockpricequote/engineering/ggdandekarmachineworks/GGD,
Ghanshyam St,GS08,http://www.moneycontrol.com/india/stockpricequote/engineering/ghanshyamst/GS08,
Ghushine Fintrr,GFO,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/ghushinefintrradeocean/GFO,
GI Engineering,GIE01,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/giengineeringsolutions/GIE01,
GIC BalancedFun,GIC02,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicbalancedfund/GIC02,
Gic Gr Plus,GIC07,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicgrowthplus/GIC07,
GIC GrowthPlusI,GIC01,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicgrowthplusii/GIC01,
GIC Housing Fin,GIC,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,
GIC Rise 91 CBS,GIC03,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicrise91cbs/GIC03,
GIC Rise 91 MIS,GIC04,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicrise91mis/GIC04,
GIC Rise II CBS,GIC05,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicriseiicbs/GIC05,
GIC Rise II MIS,GIC06,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicriseiimis/GIC06,
Gic Taxsa 95,GIC08,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gictaxsavers95/GIC08,
GIC Taxsaver,GIC09,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gictaxsaversgrowthplan/GIC09,
GICBigCBS,GBV,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicbigvaluecbs/GBV,
GICBigQDIS,GBV01,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gicbigvalueqdis/GBV01,
GIL Hospitals,MH,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/gilhospitals/MH,
Gilada Finance,GFI02,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/giladafinanceinvestments/GFI02,
Gillanders Arbu,GAC03,http://www.moneycontrol.com/india/stockpricequote/diversified/gillandersarbuthnotco/GAC03,
Gillette India,GI22,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,
Gilt Pack,GP02,http://www.moneycontrol.com/india/stockpricequote/packaging/giltpack/GP02,
Gini Silk Mills,GSM01,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/ginisilkmills/GSM01,
Ginni Filaments,GF01,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/ginnifilaments/GF01,
Girdhari Sugar,GSA02,http://www.moneycontrol.com/india/stockpricequote/sugar/girdharilalsugarallied/GSA02,
Giriraj Print,GPP01,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/girirajprintplast/GPP01,
Girish Hotel,GHR,http://www.moneycontrol.com/india/stockpricequote/hotels/girishhotelresortshealthfarm/GHR,
Girish Travels ,GTC03,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/girishtravelscouriers/GTC03,
Girnar Fibres,GF02,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/girnarfibres/GF02,
GIS Ltd,GIS03,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/gis/GIS03,
Gita Renewable ,GRE01,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/gitarenewableenergy/GRE01,
Gitanjali Gems,GG03,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/gitanjaligems/GG03,
GK Consultants,GKC,http://www.moneycontrol.com/india/stockpricequote/financegeneral/gkconsultants/GKC,
GKB Ophthalmics,GKB,http://www.moneycontrol.com/india/stockpricequote/personalcare/gkbophthalmics/GKB,
GKN Invel Trans,GKN,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/gkninveltransmissions/GKN,
GKW,GKW,http://www.moneycontrol.com/india/stockpricequote/fasteners/gkw/GKW,
Glance Fin,GF14,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/glancefinance/GF14,
GlaxoSmith Con,GSC04,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,
GlaxoSmithKline,GSK,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,
Gleitlager,GI08,http://www.moneycontrol.com/india/stockpricequote/bearings/gleitlagerindia/GI08,
Glenmark,GP08,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,
Glittke Granite,GG01,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/glittkegranites/GG01,
Global Arya Ind,GAI01,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/globalaryaindustries/GAI01,
Global Cap Mkts,GCM,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/globalcapitalmarkets/GCM,
Global e-Soluti,GSL05,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/globalesolutions/GSL05,
Global Educatio,GE02,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/globaleducation/GE02,
Global Exhibit,GE01,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/globalexhibitions/GE01,
Global Films,GFB01,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/globalfilmsbroadcasting/GFB01,
Global Finance ,GFS04,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/globalfinancesecurities/GFS04,
Global Finance ,GFC01,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/globalfinancecorporation/GFC01,
Global Foods,GFL,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/globalfoods/GFL,
Global Ind,GIL06,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/globalindustries/GIL06,
Global Infra,ACA,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/globalinfratechfinance/ACA,
Global Infra,MHC,http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/globalinfrastructuretechnologies/MHC,
Global Knitfab ,GKL,http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/globalknitfab/GKL,
Global Land,MS19,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/globallandmasterscorporation/MS19,
Global Offshore,GOS,http://www.moneycontrol.com/india/stockpricequote/shipping/globaloffshoreservices/GOS,
Global Sec,GS01,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/globalsecurities/GS01,
Global Stone,GS15,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/globalstone/GS15,
Global Syntx,GS09,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/globalsyntex/GS09,
Global Trust,GTB,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/globaltrustbank/GTB,
Global Vectra,GVH,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/globalvectrahelicorp/GVH,
Globalspace Tec,GT06,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/globalspacetechnologies/GT06,
Globe Active,GAT01,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/globeactivetechnologies/GAT01,
Globe Commercia,GC22,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/globecommercials/GC22,
Globe Industria,GIR,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/globeindustrialresources/GIR,
Globe Internati,GIC11,http://www.moneycontrol.com/india/stockpricequote/diversified/globeinternationalcarriers/GIC11,
Globe Stocks,GS10,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/globestocks/GS10,
Globe Textiles,GTI,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/globetextilesindia/GTI,
Globsyn Tech,GT05,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/globsyntechnologies/GT05,
Globus Constr,GF09,http://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/globusconstructorsdevelopers/GF09,
Globus Corp,KC05,http://www.moneycontrol.com/india/stockpricequote/cablespowerothers/globuscorpooration/KC05,
Globus Spirits,GS,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/globusspirits/GS,
Glodyne Techno,GT07,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/glodynetechnoserve/GT07,
Glofame Cotspin,GCI04,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/glofamecotspinindustries/GCI04,
Gloria Leasing ,GLL02,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/glorialeasing/GLL02,
Glory Chemicals,GC12,http://www.moneycontrol.com/india/stockpricequote/chemicals/glorychemicals/GC12,
Glory Polyfilms,GP09,http://www.moneycontrol.com/india/stockpricequote/packaging/glorypolyfilms/GP09,
Gloster,G06,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gloster/G06,
Gloster,GJM,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/gloster/GJM,
GM Breweries,GMB,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/gmbreweries/GMB,
GM Mittal Steel,GMM,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/gmmittalstainlesssteels/GMM,
GMB Ceramics,GMB01,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/gmbceramics/GMB01,
GMM Pfaudler,GMM01,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gmmpfaudler/GMM01,
GMR Infra,GI27,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27,
GMS Industries,GMS,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/gmsindustriesindia/GMS,
GNA Axles,A03,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/gnaaxles/A03,
GNFC,GNV,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV,
Goa Agro Oils,GAO,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/goaagrooils/GAO,
Goa Carbon,GC04,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/goacarbon/GC04,
Goa Electricals,GEF,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/goaelectricalsfans/GEF,
Goa Fruit,GFS03,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/goafruitspecialities/GFS03,
GOCL Corp,GOC01,http://www.moneycontrol.com/india/stockpricequote/chemicals/goclcorporation/GOC01,
Godavari Cerami,GCL,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/godavariceramics/GCL,
Godavari Drugs,GD,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/godavaridrugs/GD,
Godavari Fert,GFC,http://www.moneycontrol.com/india/stockpricequote/fertilisers/godavarifertiliserschemicals/GFC,
Godawari Power,GPI7,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/godawaripowerispat/GPI7,
Godfrey Phillip,GPI,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI,
Godrej Agrovet,GA03,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/godrejagrovet/GA03,
Godrej Boyce,GBM,http://www.moneycontrol.com/india/stockpricequote/diversified/godrejboycemfgco/GBM,
Godrej Consumer,GCP,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,
Godrej Ind,GI23,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23,
Godrej Prop,GP11,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,
Godrich Finance,GFS01,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/godrichfinancesecurities/GFS01,
Goenka Business,GBF,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/goenkabusinessfinance/GBF,
Goenka Diamond,GDJ01,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goenkadiamondjewels/GDJ01,
Gogia Capital,GCS01,http://www.moneycontrol.com/india/stockpricequote/financegeneral/gogiacapitalservices/GCS01,
Goiex Michio,GMS01,http://www.moneycontrol.com/india/stockpricequote/chemicals/goiexmichiosudo/GMS01,
Gokak Textiles,GT08,http://www.moneycontrol.com/india/stockpricequote/textilescottonblended/gokaktextiles/GT08,
Gokaldas Export,GE05,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/gokaldasexports/GE05,
Gokul Agro,GAR,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/gokulagroresources/GAR,
Gokul Refoils,GRS,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/gokulrefoilssolvent/GRS,
GOL Offshore,GO,http://www.moneycontrol.com/india/stockpricequote/shipping/goloffshore/GO,
Golconda Engine,GEE01,http://www.moneycontrol.com/india/stockpricequote/engineering/golcondaengineeringenterprises/GEE01,
Gold Coin Healt,GCH,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/goldcoinhealthfoods/GCH,
Gold Line,GLI01,http://www.moneycontrol.com/india/stockpricequote/financegeneral/goldlineinternationalfinvest/GLI01,
Gold Multifab,GML01,http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/goldmultifab/GML01,
Gold Rock Inves,GRI01,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/goldrockinvestments/GRI01,
Goldcrest Corp,GS03,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/goldcrestcorporation/GS03,
Goldcrest Fin,GF04,http://www.moneycontrol.com/india/stockpricequote/financegeneral/goldcrestfinance/GF04,
Golden Agro-Tec,GAT,http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/goldenagrotechindustries/GAT,
Golden Brewerie,GBL,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/goldenbreweries/GBL,
Golden Capital ,GCS02,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/goldencapitalserviceslimited/GCS02,
Golden Carpe,GC14,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/goldencarpets/GC14,
Golden Colour,GC05,http://www.moneycontrol.com/india/stockpricequote/chemicals/goldencolourchem/GC05,
Golden Crest Ed,GCE,http://www.moneycontrol.com/india/stockpricequote/diversified/goldencresteducationservices/GCE,
Golden Goenka,GS04,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/goldengoenkafincorp/GS04,
Golden Legend,GLL,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/goldenlegendleasingfinance/GLL,
Golden Proteins,GPL,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/goldenproteins/GPL,
Golden Soya Ltd,GSL04,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/goldensoya/GSL04,
Golden Tobacco,GT09,http://www.moneycontrol.com/india/stockpricequote/cigarettes/goldentobacco/GT09,
Golden Tours,GTR,http://www.moneycontrol.com/india/stockpricequote/hotels/goldentouristresortsdevelopers/GTR,
Goldiam Inter,GI10,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goldiaminternational/GI10,
Goldstar Power,GP15,http://www.moneycontrol.com/india/stockpricequote/electricals/goldstarpower/GP15,
Goldstar Straw,GSP,http://www.moneycontrol.com/india/stockpricequote/paper/goldstarstrawproducts/GSP,
Goldstone Infra,GI29,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/goldstoneinfratech/GI29,
Goldstone Tech,GT04,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/goldstonetechnologies/GT04,
Goldwon Textile,GT01,http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/goldwontextiles/GT01,
Golechha Global,GGF,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/golechhaglobalfinance/GGF,
Golkonda Alum,AIE02,http://www.moneycontrol.com/india/stockpricequote/aluminium/golkondaaluminiumextrusions/AIE02,
Golkunda Diamon,GDJ,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/golkundadiamondsjewellery/GDJ,
GOM Industries,GOM,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/gomindustries/GOM,
Gontermann,GPI04,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/gontermannpeipersindia/GPI04,
Good Luck,GLS,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/goodluckindia/GLS,
Good Value,GVI,http://www.moneycontrol.com/india/stockpricequote/plastics/goodvalueirrigation/GVI,
Goodearth Fin,GFS05,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/goodearthfinancialservices/GFS05,
Goodearth Ind,GIL05,http://www.moneycontrol.com/india/stockpricequote/chemicals/goodearthindustries/GIL05,
Goodricke Group,GG02,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/goodrickegroup/GG02,
Goodvalue Mkt,GMC,http://www.moneycontrol.com/india/stockpricequote/fertilisers/goodvaluemarketingcompany/GMC,
Goodwill Hosp,GHR01,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/goodwillhospitalresearchcentre/GHR01,
Goodyear,GI11,http://www.moneycontrol.com/india/stockpricequote/tyres/goodyearindia/GI11,
Gopal Iron,GIS04,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/gopalironsteelscogujarat/GIS04,
Gopala Poly,GP03,http://www.moneycontrol.com/india/stockpricequote/packaging/gopalapolyplast/GP03,
Gopikrishna,GGI,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gopikrishnagranitesindia/GGI,
Goplee Infotech,GI24,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gopleeinfotech/GI24,
Gorani Ind,GI20,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/goraniindustries/GI20,
Gordon Herbert,GHI,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gordonherbertindia/GHI,
Gordon Woodroff,GW,http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/gordonwoodroffe/GW,
Gothi Plascon,GPI05,http://www.moneycontrol.com/india/stockpricequote/plastics/gothiplasconindia/GPI05,
Govind Poy Oxyg,GPO,http://www.moneycontrol.com/india/stockpricequote/chemicals/govindpoyoxygen/GPO,
Govind Rubber,GR01,http://www.moneycontrol.com/india/stockpricequote/tyres/govindrubber/GR01,
Gowra Leasing,GLF03,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/gowraleasingfinance/GLF03,
Goyal Associate,GA06,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goyalassociates/GA06,
GP Industries,GPI03,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/gpindustries/GPI03,
GP Petroleums,SP36,http://www.moneycontrol.com/india/stockpricequote/lubricants/gppetroleums/SP36,
GPT Infra,GPT01,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gptinfraprojects/GPT01,
GR Cables,GRC,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/grcables/GRC,
GR Magnets,GRM,http://www.moneycontrol.com/india/stockpricequote/engineering/grmagnets/GRM,
Grabal Alok Imp,GAI04,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/grabalalokimpex/GAI04,
Gradiente Info,VRM,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/gradienteinfotainment/VRM,
Graham Firth,GFS02,http://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/grahamfirthsteelproducts/GFS02,
Graintec India ,GIL02,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/graintecindia/GIL02,
Gran Heal Pharm,GHP,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granhealpharma/GHP,
Grand Foundry,GF05,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/grandfoundry/GF05,
Grandeur Prod,GP12,http://www.moneycontrol.com/india/stockpricequote/trading/grandeurproducts/GP12,
Grandma Trading,GTA01,http://www.moneycontrol.com/india/stockpricequote/trading/grandmatradingagencies/GTA01,
Granules India,GI25,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25,
Grapco Ind,GI12,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/grapcoindustries/GI12,
Grapco Mining,GMC01,http://www.moneycontrol.com/india/stockpricequote/miningminerals/grapcominingco/GMC01,
Graphic Charts,GC13,http://www.moneycontrol.com/india/stockpricequote/printingstationery/graphiccharts/GC13,
Graphite India,GI13,http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/graphiteindia/GI13,
Grasim,GI01,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,
Gratex Ind,GI14,http://www.moneycontrol.com/india/stockpricequote/paper/gratexindustries/GI14,
Grauer and Weil,GWI,http://www.moneycontrol.com/india/stockpricequote/chemicals/grauerweilindia/GWI,
Graviss Hosp,GLH,http://www.moneycontrol.com/india/stockpricequote/hotels/gravisshospitality/GLH,
Gravita India,GI09,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/gravitaindia/GI09,
Gravity India,GI26,http://www.moneycontrol.com/india/stockpricequote/textilesweaving/gravityindia/GI26,
Great Western,GWI01,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/greatwesternindustries/GWI01,
Greaves Cotton,GC20,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,
Green Fire Agri,NT02,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/greenfireagricommodities/NT02,
Greencrest Fin,MGI,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/greencrestfinancialservices/MGI,
Greenfield Corp,GCL01,http://www.moneycontrol.com/india/stockpricequote/packaging/greenfieldcorp/GCL01,
Greenlam Ind,GI31,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenlamindustries/GI31,
Greenland Wareh,GWL,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenlandwarehousing/GWL,
Greenply Ind,GI19,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenplyindustries/GI19,
Greensignal Bio,GBP01,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/greensignalbiopharma/GBP01,
Greenview Power,GPP02,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/greenviewpowerprojects/GPP02,
Gremach CNC,GCN,http://www.moneycontrol.com/india/stockpricequote/machinetools/gremachcnc/GCN,
Gremach Tea & E,GTE02,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/gremachteaestates/GTE02,
Gresoil India,GI15,http://www.moneycontrol.com/india/stockpricequote/chemicals/gresoilindia/GI15,
Gretex Industri,GI33,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/gretexindustries/GI33,
Greycells Edu,MJP01,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/greycellseducation/MJP01,
Grindwell Norto,GN,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,
GRM Overseas,GRM01,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/grmoverseas/GRM01,
Gromo Trade,KFC,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gromotradeconsultancy/KFC,
Grover Leasing ,GLL01,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/groverleasing/GLL01,
Grovy India,GI32,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/grovyindia/GI32,
Growmore Solven,GS05,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/growmoresolvent/GS05,
Growth Techno,GTP01,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/growthtechnoprojects/GTP01,
GRP,GRR,http://www.moneycontrol.com/india/stockpricequote/rubber/grp/GRR,
GRUH Finance,GRU,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,
GS Auto,GSA,http://www.moneycontrol.com/india/stockpricequote/fasteners/gsautointernational/GSA,
GSAL India,GSA01,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/gsalindia/GSA01,
GSB Finance,GSB,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gsbfinance/GSB,
GSFC,GSF,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,
GSL India,GSL,http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/gslindia/GSL,
GSL Nova Petro,NP09,http://www.moneycontrol.com/india/stockpricequote/textilesmanmade/gslnovapetrochemicals/NP09,
GSL Securities,GSL01,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/gslsecurities/GSL01,
GSPL India,GSP01,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/gsplindia/GSP01,
GSS Infotech,GAI05,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/gssinfotech/GAI05,
GTCL Mobile,GTC02,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/gtclmobilecomtechnology/GTC02,
GTL,GTL01,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/gtl/GTL01,
GTL Infra,GTL02,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/gtlinfrastructure/GTL02,
