,#EANF#,%,Cash / Call,Equity,Equity ,Qty,Qty ,Rating ,Sector,Unnamed: 0,Unnamed: 0.1,Unnamed: 4,Unnamed: 5,Value,"Value
 (Rs cr)",Value  (Rs cr),company_code,company_name
41,,0.96,,,Bharat Forge,,"100,314.00",,Manufacturing,41,,,,,10.95,,MAA099,axis-mid-cap-fund
42,,0.87,,,Alkem Lab,,"53,722.00",,Pharmaceuticals,42,,,,,9.93,,MAA099,axis-mid-cap-fund
43,,0.83,,,JK Lakshmi Cem,,"195,724.00",,Cement & Construction,43,,,,,9.47,,MAA099,axis-mid-cap-fund
44,,0.73,,,CDSL,,"318,359.00",,Banking & Financial Services,44,,,,,8.33,,MAA099,axis-mid-cap-fund
45,,0.7,,,Shankara Buildi,,"98,496.00",,Miscellaneous,45,,,,,7.99,,MAA099,axis-mid-cap-fund
0,,6.95,,,City Union Bank,,"34,024.00",,Banking & Financial Services,0,,,,,0.55,,MAA316,axis-small-cap-fund-direct
1,,5.5,,,VST,,"1,213.00",,Tobacco,1,,,,,0.43,,MAA316,axis-small-cap-fund-direct
2,,4.72,,,Cholamandalam,,"3,304.00",,Banking & Financial Services,2,,,,,0.37,,MAA316,axis-small-cap-fund-direct
3,,4.6,,,Endurance Techn,,"4,135.00",,Automotive,3,,,,,0.36,,MAA316,axis-small-cap-fund-direct
4,,4.51,,,Gulf Oil Lubric,,"4,374.00",,Chemicals,4,,,,,0.35,,MAA316,axis-small-cap-fund-direct
5,,4.1,,,PNB Housing Fin,,"2,021.00",,Banking & Financial Services,5,,,,,0.32,,MAA316,axis-small-cap-fund-direct
6,,3.41,,,IGL,,"2,540.00",,Oil & Gas,6,,,,,0.27,,MAA316,axis-small-cap-fund-direct
7,,3.36,,,EngineersInd,,"17,204.00",,Engineering & Capital Goods,7,,,,,0.26,,MAA316,axis-small-cap-fund-direct
8,,3.26,,,Whirlpool,,"2,254.00",,Consumer Durables,8,,,,,0.26,,MAA316,axis-small-cap-fund-direct
9,,3.21,,,Ceat,,"1,407.00",,Automotive,9,,,,,0.25,,MAA316,axis-small-cap-fund-direct
10,,3.1,,,JK Lakshmi Cem,,"5,031.00",,Cement & Construction,10,,,,,0.24,,MAA316,axis-small-cap-fund-direct
11,,2.77,,,Syngene Intl,,"4,634.00",,Miscellaneous,11,,,,,0.22,,MAA316,axis-small-cap-fund-direct
12,,2.72,,,SML Isuzu,,"1,772.00",,Automotive,12,,,,,0.21,,MAA316,axis-small-cap-fund-direct
13,,2.57,,,Mahindra Holida,,"5,185.00",,Services,13,,,,,0.2,,MAA316,axis-small-cap-fund-direct
14,,2.53,,,Sundaram Fin,,"1,238.00",,Banking & Financial Services,14,,,,,0.2,,MAA316,axis-small-cap-fund-direct
15,,2.22,,,PSP Projects,,"6,479.00",,Cement & Construction,15,,,,,0.17,,MAA316,axis-small-cap-fund-direct
16,,2.21,,,Torrent Power,,"9,790.00",,Utilities,16,,,,,0.17,,MAA316,axis-small-cap-fund-direct
17,,2.21,,,Trent,,"7,339.00",,Retail & Real Estate,17,,,,,0.17,,MAA316,axis-small-cap-fund-direct
18,,2.21,,,GRUH Finance,,"3,907.00",,Banking & Financial Services,18,,,,,0.17,,MAA316,axis-small-cap-fund-direct
19,,2.17,,,Coromandel Int,,"4,070.00",,Chemicals,19,,,,,0.17,,MAA316,axis-small-cap-fund-direct
20,,2.16,,,J. K. Cement,,"1,811.00",,Cement & Construction,20,,,,,0.17,,MAA316,axis-small-cap-fund-direct
21,,2.06,,,Sanofi India,,390,,Pharmaceuticals,21,,,,,0.16,,MAA316,axis-small-cap-fund-direct
22,,1.99,,,VST Tillers,,684,,Automotive,22,,,,,0.16,,MAA316,axis-small-cap-fund-direct
23,,1.97,,,Alkem Lab,,836,,Pharmaceuticals,23,,,,,0.16,,MAA316,axis-small-cap-fund-direct
24,,1.83,,,Voltas,,"3,150.00",,Conglomerates,24,,,,,0.14,,MAA316,axis-small-cap-fund-direct
25,,1.79,,,Igarashi Motors,,"1,426.00",,Engineering & Capital Goods,25,,,,,0.14,,MAA316,axis-small-cap-fund-direct
26,,1.75,,,Guj State Petro,,"7,801.00",,Oil & Gas,26,,,,,0.14,,MAA316,axis-small-cap-fund-direct
27,,1.72,,,MCX India,,"1,244.00",,Miscellaneous,27,,,,,0.14,,MAA316,axis-small-cap-fund-direct
28,,1.66,,,Schaeffler Ind,,294,,Engineering & Capital Goods,28,,,,,0.13,,MAA316,axis-small-cap-fund-direct
29,,1.57,,,Gateway Distri,,"4,793.00",,Miscellaneous,29,,,,,0.12,,MAA316,axis-small-cap-fund-direct
30,,1.55,,,Vesuvius India,,975,,Cement & Construction,30,,,,,0.12,,MAA316,axis-small-cap-fund-direct
31,,1.5,,,ICRA,,293,,Miscellaneous,31,,,,,0.12,,MAA316,axis-small-cap-fund-direct
32,,1.36,,,Aditya Birla F,,"6,173.00",,Retail & Real Estate,32,,,,,0.11,,MAA316,axis-small-cap-fund-direct
33,,1.34,,,Grindwell Norto,,"2,621.00",,Engineering & Capital Goods,33,,,,,0.11,,MAA316,axis-small-cap-fund-direct
34,,1.24,,,Balkrishna Ind,,587,,Automotive,34,,,,,0.1,,MAA316,axis-small-cap-fund-direct
35,,1.23,,,TTK Prestige,,146,,Consumer Durables,35,,,,,0.1,,MAA316,axis-small-cap-fund-direct
36,,1.22,,,Blue Star,,"1,602.00",,Consumer Durables,36,,,,,0.1,,MAA316,axis-small-cap-fund-direct
37,,0.72,,,Ramco Cements,,815,,Cement & Construction,37,,,,,0.06,,MAA316,axis-small-cap-fund-direct
38,,0.43,,,Ortel Comm,,"5,051.00",,Media & Entertainment,38,,,,,0.03,,MAA316,axis-small-cap-fund-direct
39,,0.39,,,MM Forgings,,501,,Manufacturing,39,,,,,0.03,,MAA316,axis-small-cap-fund-direct
40,,0.34,,,Shankara Buildi,,331,,Miscellaneous,40,,,,,0.03,,MAA316,axis-small-cap-fund-direct
41,,0.3,,,AIA Engineering,,169,,Engineering & Capital Goods,41,,,,,0.02,,MAA316,axis-small-cap-fund-direct
0,,6.95,,,City Union Bank,,"1,669,712.00",,Banking & Financial Services,0,,,,,26.84,,MAA314,axis-small-cap-fund
1,,5.5,,,VST,,"59,547.00",,Tobacco,1,,,,,21.24,,MAA314,axis-small-cap-fund
2,,4.72,,,Cholamandalam,,"162,156.00",,Banking & Financial Services,2,,,,,18.23,,MAA314,axis-small-cap-fund
3,,4.6,,,Endurance Techn,,"202,937.00",,Automotive,3,,,,,17.77,,MAA314,axis-small-cap-fund
4,,4.51,,,Gulf Oil Lubric,,"214,633.00",,Chemicals,4,,,,,17.42,,MAA314,axis-small-cap-fund
5,,4.1,,,PNB Housing Fin,,"99,204.00",,Banking & Financial Services,5,,,,,15.84,,MAA314,axis-small-cap-fund
6,,3.41,,,IGL,,"124,640.00",,Oil & Gas,6,,,,,13.17,,MAA314,axis-small-cap-fund
7,,3.36,,,EngineersInd,,"844,307.00",,Engineering & Capital Goods,7,,,,,12.98,,MAA314,axis-small-cap-fund
8,,3.26,,,Whirlpool,,"110,605.00",,Consumer Durables,8,,,,,12.59,,MAA314,axis-small-cap-fund
9,,3.21,,,Ceat,,"69,068.00",,Automotive,9,,,,,12.4,,MAA314,axis-small-cap-fund
10,,3.1,,,JK Lakshmi Cem,,"246,913.00",,Cement & Construction,10,,,,,11.97,,MAA314,axis-small-cap-fund
11,,2.77,,,Syngene Intl,,"227,406.00",,Miscellaneous,11,,,,,10.7,,MAA314,axis-small-cap-fund
12,,2.72,,,SML Isuzu,,"86,945.00",,Automotive,12,,,,,10.51,,MAA314,axis-small-cap-fund
13,,2.57,,,Mahindra Holida,,"254,450.00",,Services,13,,,,,9.93,,MAA314,axis-small-cap-fund
14,,2.53,,,Sundaram Fin,,"60,765.00",,Banking & Financial Services,14,,,,,9.77,,MAA314,axis-small-cap-fund
15,,2.22,,,PSP Projects,,"317,971.00",,Cement & Construction,15,,,,,8.57,,MAA314,axis-small-cap-fund
16,,2.21,,,Torrent Power,,"480,465.00",,Utilities,16,,,,,8.54,,MAA314,axis-small-cap-fund
17,,2.21,,,Trent,,"360,146.00",,Retail & Real Estate,17,,,,,8.54,,MAA314,axis-small-cap-fund
18,,2.21,,,GRUH Finance,,"191,722.00",,Banking & Financial Services,18,,,,,8.54,,MAA314,axis-small-cap-fund
19,,2.17,,,Coromandel Int,,"199,737.00",,Chemicals,19,,,,,8.38,,MAA314,axis-small-cap-fund
20,,2.16,,,J. K. Cement,,"88,852.00",,Cement & Construction,20,,,,,8.34,,MAA314,axis-small-cap-fund
21,,2.06,,,Sanofi India,,"19,158.00",,Pharmaceuticals,21,,,,,7.96,,MAA314,axis-small-cap-fund
22,,1.99,,,VST Tillers,,"33,580.00",,Automotive,22,,,,,7.69,,MAA314,axis-small-cap-fund
23,,1.97,,,Alkem Lab,,"41,003.00",,Pharmaceuticals,23,,,,,7.61,,MAA314,axis-small-cap-fund
24,,1.83,,,Voltas,,"154,572.00",,Conglomerates,24,,,,,7.07,,MAA314,axis-small-cap-fund
25,,1.79,,,Igarashi Motors,,"69,970.00",,Engineering & Capital Goods,25,,,,,6.91,,MAA314,axis-small-cap-fund
26,,1.75,,,Guj State Petro,,"382,829.00",,Oil & Gas,26,,,,,6.76,,MAA314,axis-small-cap-fund
27,,1.72,,,MCX India,,"61,040.00",,Miscellaneous,27,,,,,6.64,,MAA314,axis-small-cap-fund
28,,1.66,,,Schaeffler Ind,,"14,414.00",,Engineering & Capital Goods,28,,,,,6.41,,MAA314,axis-small-cap-fund
29,,1.57,,,Gateway Distri,,"235,208.00",,Miscellaneous,29,,,,,6.06,,MAA314,axis-small-cap-fund
30,,1.55,,,Vesuvius India,,"47,838.00",,Cement & Construction,30,,,,,5.99,,MAA314,axis-small-cap-fund
31,,1.5,,,ICRA,,"14,367.00",,Miscellaneous,31,,,,,5.79,,MAA314,axis-small-cap-fund
32,,1.36,,,Aditya Birla F,,"302,918.00",,Retail & Real Estate,32,,,,,5.25,,MAA314,axis-small-cap-fund
33,,1.34,,,Grindwell Norto,,"128,612.00",,Engineering & Capital Goods,33,,,,,5.18,,MAA314,axis-small-cap-fund
34,,1.24,,,Balkrishna Ind,,"28,796.00",,Automotive,34,,,,,4.79,,MAA314,axis-small-cap-fund
35,,1.23,,,TTK Prestige,,"7,187.00",,Consumer Durables,35,,,,,4.75,,MAA314,axis-small-cap-fund
36,,1.22,,,Blue Star,,"78,597.00",,Consumer Durables,36,,,,,4.71,,MAA314,axis-small-cap-fund
37,,0.72,,,Ramco Cements,,"40,014.00",,Cement & Construction,37,,,,,2.78,,MAA314,axis-small-cap-fund
38,,0.43,,,Ortel Comm,,"247,873.00",,Media & Entertainment,38,,,,,1.66,,MAA314,axis-small-cap-fund
39,,0.39,,,MM Forgings,,"24,568.00",,Manufacturing,39,,,,,1.51,,MAA314,axis-small-cap-fund
40,,0.34,,,Shankara Buildi,,"16,220.00",,Miscellaneous,40,,,,,1.31,,MAA314,axis-small-cap-fund
41,,0.3,,,AIA Engineering,,"8,304.00",,Engineering & Capital Goods,41,,,,,1.16,,MAA314,axis-small-cap-fund
0,,4.82,,,Bharat Forge,,"128,000.00",,Manufacturing,0,,,,,14.65,,MBS1821,birla-sl-emer-leaders-sr-1-dp
1,,4.21,,,Dewan Housing,,"300,000.00",,Banking & Financial Services,1,,,,,12.8,,MBS1821,birla-sl-emer-leaders-sr-1-dp
2,,3.8,,,Grasim,,"100,000.00",,Conglomerates,2,,,,,11.55,,MBS1821,birla-sl-emer-leaders-sr-1-dp
3,,3.08,,,Bank of Baroda,,"500,000.00",,Banking & Financial Services,3,,,,,9.38,,MBS1821,birla-sl-emer-leaders-sr-1-dp
4,,3.04,,,Natco Pharma,,"100,000.00",,Pharmaceuticals,4,,,,,9.24,,MBS1821,birla-sl-emer-leaders-sr-1-dp
5,,2.98,,,City Union Bank,,"550,000.00",,Banking & Financial Services,5,,,,,9.06,,MBS1821,birla-sl-emer-leaders-sr-1-dp
6,,2.97,,,Guj State Petro,,"499,000.00",,Oil & Gas,6,,,,,9.03,,MBS1821,birla-sl-emer-leaders-sr-1-dp
