"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"17-Jan-2019","     9182.00","     9191.85","     9119.60","     9161.60","     1007575376","        26244.19"
"18-Jan-2019","     9173.20","     9180.30","     9113.45","     9140.10","      959390638","        27489.64"
"21-Jan-2019","     9150.60","     9195.80","     9125.45","     9155.30","      998815405","        28101.74"
"22-Jan-2019","     9146.30","     9146.30","     9075.25","     9131.15","     1007067684","        30053.29"
"23-Jan-2019","     9138.75","     9151.05","     9055.15","     9068.85","      988569092","        26380.21"
"24-Jan-2019","     9080.25","     9086.35","     9039.45","     9072.20","      979857742","        27051.00"
"25-Jan-2019","     9085.60","     9133.15","     8974.55","     8994.35","     1262667051","        33683.40"
"28-Jan-2019","     8999.30","     9001.15","     8849.95","     8876.60","     1346539812","        33750.57"
"29-Jan-2019","     8865.30","     8904.90","     8825.60","     8875.65","     1213359967","        32159.92"
"30-Jan-2019","     8913.45","     8919.45","     8851.05","     8884.90","     1172562732","        33603.72"
"31-Jan-2019","     8916.40","     9007.45","     8899.55","     9003.85","     1659908058","        42878.62"
"01-Feb-2019","     9024.95","     9130.10","     8988.25","     9056.30","     1490461665","        39385.90"
"04-Feb-2019","     9045.00","     9052.55","     8974.65","     9042.00","     1623654084","        28669.36"
"05-Feb-2019","     9039.70","     9064.60","     9016.70","     9033.60","     1988467885","        27589.89"
"06-Feb-2019","     9056.90","     9128.05","     9039.30","     9118.70","     1825509475","        30999.19"
"07-Feb-2019","     9125.50","     9179.75","     9116.15","     9145.80","     1757382920","        29530.68"
"08-Feb-2019","     9112.70","     9122.65","     9024.75","     9036.90","     1520975839","        28592.89"
"11-Feb-2019","     9026.10","     9026.10","     8949.85","     8967.15","     1176179562","        26058.40"
"12-Feb-2019","     8961.90","     8987.85","     8917.65","     8925.30","     1218532306","        26834.39"
"13-Feb-2019","     8955.35","     8970.80","     8873.40","     8887.90","     1378218266","        28068.47"
"14-Feb-2019","     8878.85","     8891.90","     8837.75","     8869.30","     1824006382","        33558.85"
"15-Feb-2019","     8887.55","     8889.90","     8753.65","     8827.05","     1473779370","        33262.22"
"18-Feb-2019","     8836.00","     8849.05","     8744.95","     8754.35","     1263366166","        25794.23"
"19-Feb-2019","     8753.70","     8825.80","     8729.70","     8742.30","     1127866687","        25081.96"
"20-Feb-2019","     8781.40","     8858.05","     8780.00","     8845.60","     1221300791","        25796.75"
"21-Feb-2019","     8857.50","     8912.40","     8839.75","     8901.70","     1378298869","        27216.69"
"22-Feb-2019","     8899.60","     8925.70","     8885.90","     8919.75","     1693773721","        36115.40"
"25-Feb-2019","     8941.15","     8989.90","     8921.90","     8983.85","     1469384001","        28624.59"
"26-Feb-2019","     8899.00","     8994.00","     8846.10","     8953.15","     1482886356","        32057.43"
"27-Feb-2019","     8991.80","     9057.40","     8896.20","     8946.20","     1511871878","        32174.01"
"28-Feb-2019","     8990.35","     8990.60","     8941.60","     8955.95","     1812730227","        41267.88"
"01-Mar-2019","     8995.45","     9045.70","     8994.00","     9037.50","     1525231104","        29135.12"
"05-Mar-2019","     9042.90","     9178.95","     9014.70","     9173.60","     1929443706","        35357.66"
"06-Mar-2019","     9211.80","     9243.30","     9197.90","     9230.45","     1918347956","        36741.84"
"07-Mar-2019","     9251.65","     9254.45","     9210.90","     9225.35","     1668089317","        30959.57"
"08-Mar-2019","     9213.30","     9225.30","     9184.55","     9211.05","     1422519985","        27575.06"
"11-Mar-2019","     9240.80","     9353.40","     9235.60","     9345.60","     1539735147","        33039.76"
"12-Mar-2019","     9399.60","     9461.60","     9396.85","     9440.85","     1621296450","        38923.79"
"13-Mar-2019","     9461.25","     9471.40","     9416.65","     9450.25","     1443338398","        37573.19"
"14-Mar-2019","     9481.85","     9486.50","     9424.50","     9447.20","     1351916296","        31560.56"
"15-Mar-2019","     9473.85","     9540.95","     9471.40","     9499.40","     1861141517","        45646.05"
"18-Mar-2019","     9536.05","     9572.95","     9481.65","     9516.70","     1413548415","        31362.44"
"19-Mar-2019","     9549.75","     9576.05","     9513.45","     9570.15","     1553819264","        32443.88"
"20-Mar-2019","     9587.50","     9588.50","     9540.90","     9553.00","     1519215955","        34165.49"
"22-Mar-2019","     9572.35","     9594.10","     9485.45","     9500.05","     1566059510","        34280.42"
"25-Mar-2019","     9446.85","     9446.85","     9381.90","     9411.65","     1267948932","        27995.37"
"26-Mar-2019","     9431.90","     9522.45","     9421.60","     9512.60","     1475115700","        31022.05"
"27-Mar-2019","     9552.20","     9569.60","     9475.40","     9501.80","     1564260248","        35985.20"
"28-Mar-2019","     9518.70","     9613.55","     9510.80","     9601.95","     1882550220","        45876.98"
"29-Mar-2019","     9647.75","     9667.45","     9613.00","     9663.70","     1875536376","        39926.75"
"01-Apr-2019","     9703.00","     9756.30","     9683.95","     9702.00","     1581590493","        35213.37"
"02-Apr-2019","     9735.05","     9735.05","     9681.60","     9720.80","     1613306134","        34557.44"
"03-Apr-2019","     9742.35","     9765.65","     9647.20","     9658.40","     1471683876","        35272.38"
"04-Apr-2019","     9674.00","     9675.20","     9590.85","     9626.65","     1509400181","        34272.31"
"05-Apr-2019","     9659.65","     9700.40","     9641.45","     9684.95","     1256930002","        28733.09"
"08-Apr-2019","     9715.45","     9719.95","     9593.85","     9634.40","     1368193376","        29359.89"
"09-Apr-2019","     9641.90","     9685.85","     9594.95","     9677.75","     1197577979","        28808.55"
"10-Apr-2019","     9661.55","     9690.35","     9612.85","     9622.95","     1231430516","        35536.91"
"11-Apr-2019","     9630.15","     9641.75","     9599.20","     9634.55","     1176516005","        27452.63"
"12-Apr-2019","     9646.60","     9682.30","     9626.95","     9674.60","     1247836014","        27288.81"
"15-Apr-2019","     9697.65","     9726.85","     9683.80","     9716.50","     1287769280","        28116.56"
"16-Apr-2019","     9751.35","     9796.10","     9748.70","     9781.40","     1341665199","        32585.52"
"18-Apr-2019","     9826.45","     9826.45","     9721.40","     9738.70","     1438090949","        34657.71"
"22-Apr-2019","     9715.95","     9715.95","     9591.80","     9599.80","     1124113976","        25665.00"
"23-Apr-2019","     9614.85","     9642.15","     9577.00","     9587.30","     1233581473","        28315.59"
"24-Apr-2019","     9607.40","     9696.55","     9585.25","     9687.55","     1288201931","        30507.72"
"25-Apr-2019","     9697.80","     9742.85","     9616.30","     9628.80","     1654760954","        43730.22"
"26-Apr-2019","     9661.10","     9695.40","     9632.05","     9689.70","     1242303816","        30594.33"
"30-Apr-2019","     9684.80","     9684.80","     9592.15","     9664.30","     1598971958","        37132.37"
"02-May-2019","     9646.40","     9694.95","     9620.70","     9637.50","     1451787510","        32502.76"
"03-May-2019","     9637.50","     9665.50","     9613.60","     9624.55","     1194985189","        27752.98"
"06-May-2019","     9544.95","     9567.40","     9513.85","     9532.45","     1132430027","        26630.09"
"07-May-2019","     9573.30","     9578.55","     9441.50","     9450.80","     1293893456","        29319.34"
"08-May-2019","     9433.10","     9433.45","     9331.70","     9340.25","     1485441576","        30450.60"
"09-May-2019","     9313.55","     9339.55","     9261.50","     9299.75","     1332587410","        28895.62"
"10-May-2019","     9309.35","     9335.15","     9271.10","     9290.20","     1410355040","        30364.43"
"13-May-2019","     9274.05","     9288.85","     9143.95","     9159.95","     1448550879","        28370.50"
"14-May-2019","     9156.00","     9261.85","     9108.45","     9212.35","     1610461883","        33618.66"
"15-May-2019","     9247.15","     9265.65","     9145.80","     9160.10","     1354437542","        30657.43"
"16-May-2019","     9176.50","     9238.95","     9136.40","     9221.65","     1288215233","        29252.22"
