Equity,Sector,Qty,Value,%,Fund_Type,Fund_Name,Fund_Code,Time_Stamp
"Repco Home","Banking & Financial Services",70200,4.38,0.1,Arbitrage,"HDFC Arbitrage Fund - WP (G)",MHD228,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",6300,0.39,0.01,Arbitrage,"JM Arbitrage Advantage (G)",MJM068,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",6300,0.39,0.01,Arbitrage,"JM Arbitrage Advantage -Direct (G)",MJM330,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",294300,18.37,0.13,Arbitrage,"Kotak Equity Arbitrage - Regular (G)",MKM079,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",294300,18.37,0.13,Arbitrage,"Kotak Equity Arbitrage - Direct (G)",MKM526,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",10800,0.67,0.01,Arbitrage,"Reliance Arbitrage Advantage (G)",MRC600,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",10800,0.67,0.01,Arbitrage,"Reliance Arbitrage Adv.- Direct (G)",MRC899,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",74700,4.66,0.22,Arbitrage,"UTI SPrEAD Fund (G)",MUT102,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",74700,4.66,0.22,Arbitrage,"UTI SPrEAD Fund - Direct (G)",MUT712,"2018-03-04 00:00:00"
"Repco Home","Banking & Financial Services",773226,43.66,0.31,Balanced,"ABSL Bal. 95 Fund (G)",MAC001,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",590000,33.31,0.39,Diversified,"ABSL Equity Fund (G)",MAC006,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",680882,38.44,0.66,Diversified,"ABSL Advantage Fund (G)",MBS022,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",263828,14.9,0.62,MIPA,"ABSL MIP II-Wealth 25 (G)",MBS061,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",110000,6.21,0.82,Diversified,"ABSL India GenNext (G)",MBS087,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",696854,39.34,1.9,Midcap,"ABSL Small and Midcap Fund (G)",MBS104,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",599666,33.86,2.33,Banking,"ABSL Bank&Financial; Ser -RP (G)",MBS1451,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",599666,33.86,2.33,Banking,"ABSL Bank&Financial; Ser -DP (G)",MBS1453,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",50212,2.84,2.91,Diversified,"ABSL Intl. Equity - B (G)",MBS205,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",145000,8.19,3.05,Midcap,"ABSL Emer. Leaders-Sr 6-RP (G)",MBS2055,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",145000,8.19,3.05,Midcap,"ABSL Emer. Leaders-Sr 6-DP (G)",MBS2057,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",680882,38.44,0.66,Diversified,"ABSL Advantage Fund -DIrect (G)",MBS807,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",590000,33.31,0.39,Diversified,"ABSL Equity Fund -Direct (G)",MBS811,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",110000,6.21,0.82,Diversified,"ABSL India GenNext-Direct (G)",MBS815,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",50212,2.84,2.91,Diversified,"ABSL Intl. Equity B -Direct (G)",MBS825,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",696854,39.34,1.9,Midcap,"ABSL Small & Midcap -Direct (G)",MBS833,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",773226,43.66,0.31,Balanced,"ABSL Bal. 95 Fund -Direct (G)",MBS849,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",1255776,70.9,1.32,Midcap,"DSP BR Mid Cap - Regular (G)",MDS056,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",785963,44.38,1.14,ELSS,"DSP BR Tax Saver Fund - Regular (G)",MDS060,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",1837763,103.76,1.67,Midcap,"DSP BR Small Cap Fund - Regular (G)",MDS076,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",785963,44.38,1.14,ELSS,"DSP BR Tax Saver Fund - Direct (G)",MDS572,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",1255776,70.9,1.32,Midcap,"DSP BR Mid Cap - Direct (G)",MDS574,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",1837763,103.76,1.67,Midcap,"DSP BR Small Cap Fund - Direct (G)",MDS584,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",33300,1.88,0.03,MIPA,"HDFC Equity saving Fund (G)",MHD046,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",123300,6.96,0.15,Arbitrage,"HDFC Arbitrage Fund - Direct (G)",MHD1171,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",33300,1.88,0.03,MIPA,"HDFC Equity saving Fund - Direct Plan (G",MHD1217,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",123300,6.96,0.15,Arbitrage,"HDFC Arbitrage Fund - WP - DP (G)",MHD2147,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",123300,6.96,0.15,Arbitrage,"HDFC Arbitrage Fund - RP (G)",MHD225,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",123300,6.96,0.15,Arbitrage,"HDFC Arbitrage Fund - WP (G)",MHD228,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",133170,7.52,0.23,Balanced,"ABSL BAF (G)",MIN007,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",133170,7.52,0.23,Balanced,"ABSL BAF - Direct (G)",MIN389,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",6300,0.39,0.01,Arbitrage,"JM Arbitrage Advantage (G)",MJM068,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",6300,0.39,0.01,Arbitrage,"JM Arbitrage Advantage -Direct (G)",MJM330,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",326700,18.45,0.13,Arbitrage,"Kotak Equity Arbitrage - Regular (G)",MKM079,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",326700,18.45,0.13,Arbitrage,"Kotak Equity Arbitrage - Direct (G)",MKM526,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",413934,23.37,0.68,ELSS,"Franklin India Tax Shield (G)",MKP007,"2018-03-28 00:00:00"
