SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Pondy Oxides,split,09-03-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PO03,
Birlasoft,split,03-03-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KPI02,
Trimline Invt,split,25-02-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TI17,
Vishal Exports,split,25-02-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VEO,
Bhagyanagar Ind,split,24-02-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BI23,
Surana Telecom,split,24-02-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ST12,
Geodesic,split,18-02-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=G05,
Interworld,split,14-02-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ID,
Silicon Valley,split,11-02-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SVI01,
GV Films,split,08-02-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GVF,
Triveni Engg,split,08-02-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TE10,
Mercator,split,24-01-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ML02,
Vijay Textiles,split,19-01-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VT08,
Doctor Biotech,split,18-01-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DB03,
Matrix Lab,split,13-01-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ML07,
