COUNT,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
20,SHILPAMED,split,06-11-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SM19,
28,SARLAPOLY,split,29-10-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SPF01,
32,LAMBODHARA,split,15-10-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LT02,
33,BATAINDIA,split,07-10-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BI01,
34,CADILAHC,split,06-10-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CHC,
36,ALANKIT,split,23-09-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EGJ,
38,AEGISCHEM,split,16-09-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AL9,
39,URJA,split,16-09-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=UG01,
41,ITDCEM,split,21-08-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ITD03,
42,SIGIND,split,17-08-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SF22,
44,HIGHGROUND,split,16-07-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=WYE,
46,JMTAUTOLTD,split,25-06-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JMT02,
48,FCL,split,11-06-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=FC02,
50,ELPROINTL,split,04-06-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=EI03,
51,ROLLT,split,04-06-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=R05,
55,TWL,split,23-04-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TW04,
57,PITTIENG,split,16-04-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PL,
59,MENONBE,split,09-04-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MB01,
61,KSERASERA,split,30-03-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GPM,
63,KANSAINER,split,26-03-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KNP,
65,GRANULES,split,23-03-2015,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GI25,
66,AJANTPHARM,split,20-03-2015,0.4,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AP22,
67,TECHM,split,19-03-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=TM4,
72,HIKAL,split,27-02-2015,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=H05,
81,POLYMED,split,02-02-2015,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PM06,
